Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1964 [YR1964],1968 [YR1968],1972 [YR1972],1976 [YR1976],1980 [YR1980],1984 [YR1984],1988 [YR1988],1992 [YR1992],1996 [YR1996],2000 [YR2000],2004 [YR2004],2008 [YR2008],2012 [YR2012],2016 [YR2016],2020 [YR2020]
Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,8.4001192647973,5.21048787974428,3.20557956559458,5.72732127200214,-0.872046492917093,4.39400887900629,0.224236935011504,1.68600815825837,2.3150811337248,3.37790718330611,2.5110874872007,-1.0005593992968,-0.380977142457922,2.27180150073838,-2.06613834682413
Denmark,DNK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,47574.6752918296,52143.5528991443,57948.6112149471,59935.611756104,63012.8630101653,60540.6398658611,63868.7591478129,65791.1094251237
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,19817.8687077928,23713.9451875255,28641.6990434156,33019.9772946564,41467.3861879777,44755.1624273018,51820.9521305488,62682.2899474389
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,9.26993821451801,5.85299730027499,3.79759815432928,5.99340198904102,-0.751429990822288,4.33934503062636,0.272951120558915,2.02281125564969,2.89575066076839,3.72400897562952,2.77635184668432,-0.417178429513314,-0.00543231869326632,3.07304547479855,-1.7801059882175
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,6361166544.50349,9677401337.17309,13505574133.3333,23230667549.2496,44503607444.1687,70811287815.6106,58868891334.9941,115540189705.118,152966494259.538,187481157845.724,164043817223.59,251986155630.852,354979471960.142,326792574244.963,312181849372.233,355631021931.621
Denmark,DNK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,102485531699.418,124808248353.89,152935674479.406,178457226748.448,227806103577.384,250251713083.953,296830932013.305,365525756328.655
Djibouti,DJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.33331529745931,-0.194323039716195
Djibouti,DJI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5204.13108447602,5773.20749301878
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4431.56588556176,5599.10076126003
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1234323372872,1.31636324158441
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,395794538.630775,478058304.871118,494004647.73437,551230861.856505,666072101.777505,999105339.267729,1353632941.5207,2604955228.70117,3185150981.03207
Djibouti,DJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4598427635.85082,6188058972.13545
Dominica,DMA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,13.1908047871057,4.64347661100281,8.45031747886939,1.98673992835145,3.19184306311226,2.87648559525024,2.87355761312702,7.11016758860012,-1.15204641054684,3.95064296744276,-16.2252224176746
